Topic,Type,Mean,Std.Err
celebrity,Digital news feed,0.023085965,0.002272045
celebrity,Social media feed (Facebook),0.025018848,0.005105866
socialaffairs,Digital news feed,0.008174911,0.002055725
socialaffairs,Social media feed (Facebook),0.020617792,0.00189487
energy,Digital news feed,0.012969194,0.002114977
energy,Social media feed (Facebook),0.050899315,0.011049974
mobility,Digital news feed,0.040253805,0.003927649
mobility,Social media feed (Facebook),0.053183055,0.022253789
lifestyle,Digital news feed,0.032409405,0.006702862
lifestyle,Social media feed (Facebook),0.052135929,0.015175734
law,Digital news feed,0.013940953,0.002232006
law,Social media feed (Facebook),0.027686978,0.009373344
entertainment,Digital news feed,0.047658905,0.004993645
entertainment,Social media feed (Facebook),0.026492084,0.006218038
science,Digital news feed,0.115941916,0.05377969
science,Social media feed (Facebook),0.065949673,0.003202418
war,Digital news feed,0.074789632,0.015326408
war,Social media feed (Facebook),0.143101838,0.037419054
politics,Digital news feed,0.123127984,0.019966898
politics,Social media feed (Facebook),0.148231368,0.005789618
finance,Digital news feed,0.137370986,0.00720124
finance,Social media feed (Facebook),0.17045369,0.017623625
culture,Digital news feed,0.052173701,0.005074279
culture,Social media feed (Facebook),0.052114687,0.009978228
misc,Digital news feed,0.331823443,0.024954163
misc,Social media feed (Facebook),0.158364457,0.015940682
sports,Digital news feed,0.014519953,0.008502197
sports,Social media feed (Facebook),0.030151949,0.004510741
